same_education_req|var_pop|agegroup|closest_relative_group|relative_group|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
no|bd_12#prev_2021|0-24|father|case|age_index|age_index|52.2 (47.9;56.2)|47.9041095890411|56.1967213114754|52.207650273
no|bd_12#prev_2021|0-24|father|case|education_level|education_level: title||||
no|bd_12#prev_2021|0-24|father|case|education_level|education_level: long_education|6,942 (25.1)|25.0713279641735||6942
no|bd_12#prev_2021|0-24|father|case|education_level|education_level: medium_education|14,900 (53.8)|53.8119830979811||14900
no|bd_12#prev_2021|0-24|father|case|education_level|education_level: no_education|590 (2.1)|2.13081006898046||590
no|bd_12#prev_2021|0-24|father|case|education_level|education_level: short_education|5,257 (19.0)|18.9858788688648||5257
no|bd_12#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: title||||
no|bd_12#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: father|27,689 (100.0)|100||27689
no|bd_12#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|father|case|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|father|control|__n|__n|27,689 (100.0)|100||27689
no|bd_12#prev_2021|0-24|father|control|male|male|27,689 (100.0)|100||27689
no|bd_12#prev_2021|0-24|father|control|cci_g|cci_g: title||||
no|bd_12#prev_2021|0-24|father|control|cci_g|cci_g: +3|508 (1.8)|1.83466358481707||508
no|bd_12#prev_2021|0-24|father|control|cci_g|cci_g: 0|23,881 (86.2)|86.2472461988515||23881
no|bd_12#prev_2021|0-24|father|control|cci_g|cci_g: 1-2|3,300 (11.9)|11.9180902163313||3300
no|bd_12#prev_2021|0-24|father|control|age_index|age_index|52.4 (48.2;56.6)|48.1693989071038|56.5792349726776|52.420765027
no|bd_12#prev_2021|0-24|father|control|education_level|education_level: title||||
no|bd_12#prev_2021|0-24|father|control|education_level|education_level: long_education|7,658 (27.7)|27.6571923868684||7658
no|bd_12#prev_2021|0-24|father|control|education_level|education_level: medium_education|14,169 (51.2)|51.1719455379392||14169
no|bd_12#prev_2021|0-24|father|control|education_level|education_level: no_education|763 (2.8)|2.75560691971541||763
no|bd_12#prev_2021|0-24|father|control|education_level|education_level: short_education|5,099 (18.4)|18.4152551554769||5099
no|bd_12#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: title||||
no|bd_12#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: father|27,689 (100.0)|100||27689
no|bd_12#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|father|control|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|mother|case|__n|__n|22,382 (100.0)|100||22382
no|bd_12#prev_2021|0-24|mother|case|male|male|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|mother|case|cci_g|cci_g: title||||
no|bd_12#prev_2021|0-24|mother|case|cci_g|cci_g: +3|309 (1.4)|1.38057367527477||309
no|bd_12#prev_2021|0-24|mother|case|cci_g|cci_g: 0|19,081 (85.3)|85.2515414172102||19081
no|bd_12#prev_2021|0-24|mother|case|cci_g|cci_g: 1-2|2,992 (13.4)|13.3678849075149||2992
no|bd_12#prev_2021|0-24|mother|case|age_index|age_index|49.9 (45.9;53.9)|45.8602739726027|53.8520547945205|49.882191781
no|bd_12#prev_2021|0-24|mother|case|education_level|education_level: title||||
no|bd_12#prev_2021|0-24|mother|case|education_level|education_level: long_education|8,315 (37.2)|37.1503887052095||8315
no|bd_12#prev_2021|0-24|mother|case|education_level|education_level: medium_education|10,235 (45.7)|45.7287105709945||10235
no|bd_12#prev_2021|0-24|mother|case|education_level|education_level: no_education|314 (1.4)|1.40291305513358||314
no|bd_12#prev_2021|0-24|mother|case|education_level|education_level: short_education|3,518 (15.7)|15.7179876686623||3518
no|bd_12#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: title||||
no|bd_12#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: mother|22,382 (100.0)|100||22382
no|bd_12#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|mother|case|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|mother|control|__n|__n|22,382 (100.0)|100||22382
no|bd_12#prev_2021|0-24|mother|control|male|male|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|mother|control|cci_g|cci_g: title||||
no|bd_12#prev_2021|0-24|mother|control|cci_g|cci_g: +3|279 (1.2)|1.24653739612188||279
no|bd_12#prev_2021|0-24|mother|control|cci_g|cci_g: 0|19,571 (87.4)|87.4408006433741||19571
no|bd_12#prev_2021|0-24|mother|control|cci_g|cci_g: 1-2|2,532 (11.3)|11.3126619605039||2532
no|bd_12#prev_2021|0-24|mother|control|age_index|age_index|50.1 (46.0;54.1)|45.9698630136986|54.0931506849315|50.063013699
no|bd_12#prev_2021|0-24|mother|control|education_level|education_level: title||||
no|bd_12#prev_2021|0-24|mother|control|education_level|education_level: long_education|8,565 (38.3)|38.2673576981503||8565
no|bd_12#prev_2021|0-24|mother|control|education_level|education_level: medium_education|9,681 (43.3)|43.2535072826378||9681
no|bd_12#prev_2021|0-24|mother|control|education_level|education_level: no_education|483 (2.2)|2.15798409436154||483
no|bd_12#prev_2021|0-24|mother|control|education_level|education_level: short_education|3,653 (16.3)|16.3211509248503||3653
no|bd_12#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: title||||
no|bd_12#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: mother|22,382 (100.0)|100||22382
no|bd_12#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_12#prev_2021|0-24|mother|control|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_12#prev_2021|25-64|closest_relative|case|__n|__n|279,731 (100.0)|100||279731
no|bd_12#prev_2021|25-64|closest_relative|case|male|male|186,359 (66.6)|66.6207892582516||186359
no|bd_12#prev_2021|25-64|closest_relative|case|cci_g|cci_g: title||||
no|bd_12#prev_2021|25-64|closest_relative|case|cci_g|cci_g: +3|9,373 (3.4)|3.35071908369111||9373
no|bd_12#prev_2021|25-64|closest_relative|case|cci_g|cci_g: 0|226,716 (81.0)|81.0478638406183||226716
no|bd_12#prev_2021|25-64|closest_relative|case|cci_g|cci_g: 1-2|43,642 (15.6)|15.6014170756905||43642
no|bd_12#prev_2021|25-64|closest_relative|case|age_index|age_index|54.0 (42.9;62.4)|42.8657534246575|62.3972602739726|54.002739726
no|bd_12#prev_2021|25-64|closest_relative|case|education_level|education_level: title||||
no|bd_12#prev_2021|25-64|closest_relative|case|education_level|education_level: long_education|74,695 (26.7)|26.7024391290203||74695
no|bd_12#prev_2021|25-64|closest_relative|case|education_level|education_level: medium_education|136,981 (49.0)|48.9688307695607||136981
no|bd_12#prev_2021|25-64|closest_relative|case|education_level|education_level: no_education|8,879 (3.2)|3.17412085181835||8879
no|bd_12#prev_2021|25-64|closest_relative|case|education_level|education_level: short_education|59,176 (21.2)|21.1546092496005||59176
no|bd_12#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: title||||
no|bd_12#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_12#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_12#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_12#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: parent|51,774 (18.5)|18.5084956619037||51774
no|bd_12#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: partner|181,066 (64.7)|64.7286142758578||181066
no|bd_12#prev_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: sibling|46,891 (16.8)|16.7628900622383||46891
no|bd_12#prev_2021|25-64|closest_relative|control|__n|__n|279,731 (100.0)|100||279731
no|bd_12#prev_2021|25-64|closest_relative|control|male|male|184,300 (65.9)|65.8847249679156||184300
no|bd_12#prev_2021|25-64|closest_relative|control|cci_g|cci_g: title||||
no|bd_12#prev_2021|25-64|closest_relative|control|cci_g|cci_g: +3|9,103 (3.3)|3.25419778286997||9103
no|bd_12#prev_2021|25-64|closest_relative|control|cci_g|cci_g: 0|228,852 (81.8)|81.8114545760033||228852
no|bd_12#prev_2021|25-64|closest_relative|control|cci_g|cci_g: 1-2|41,776 (14.9)|14.9343476411266||41776
no|bd_12#prev_2021|25-64|closest_relative|control|age_index|age_index|54.3 (43.1;62.7)|43.1013698630137|62.6876712328767|54.284931507
no|bd_12#prev_2021|25-64|closest_relative|control|education_level|education_level: title||||
no|bd_12#prev_2021|25-64|closest_relative|control|education_level|education_level: long_education|78,661 (28.1)|28.1202297921932||78661
no|bd_12#prev_2021|25-64|closest_relative|control|education_level|education_level: medium_education|131,334 (47.0)|46.9501056372014||131334
no|bd_12#prev_2021|25-64|closest_relative|control|education_level|education_level: no_education|12,656 (4.5)|4.52434660441638||12656
no|bd_12#prev_2021|25-64|closest_relative|control|education_level|education_level: short_education|57,080 (20.4)|20.4053179661889||57080
no|bd_12#prev_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: title||||
no|bd_12#prev_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_12#prev_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_12#prev_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_12#prev_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: parent|51,774 (18.5)|18.5084956619037||51774
no|bd_12#prev_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: partner|181,066 (64.7)|64.7286142758578||181066
no|bd_12#prev_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: sibling|46,891 (16.8)|16.7628900622383||46891
no|bd_12#prev_2021|65+|closest_relative|case|__n|__n|84,346 (100.0)|100||84346
no|bd_12#prev_2021|65+|closest_relative|case|male|male|59,134 (70.1)|70.1088374078201||59134
no|bd_12#prev_2021|65+|closest_relative|case|cci_g|cci_g: title||||
no|bd_12#prev_2021|65+|closest_relative|case|cci_g|cci_g: +3|6,237 (7.4)|7.3945415313115||6237
no|bd_12#prev_2021|65+|closest_relative|case|cci_g|cci_g: 0|58,294 (69.1)|69.1129395584852||58294
no|bd_12#prev_2021|65+|closest_relative|case|cci_g|cci_g: 1-2|19,815 (23.5)|23.4925189102032||19815
no|bd_12#prev_2021|65+|closest_relative|case|age_index|age_index|67.5 (52.4;74.3)|52.4016393442623|74.3397260273972|67.526027397
no|bd_12#prev_2021|65+|closest_relative|case|education_level|education_level: title||||
no|bd_12#prev_2021|65+|closest_relative|case|education_level|education_level: long_education|22,240 (26.4)|26.3675811538188||22240
no|bd_12#prev_2021|65+|closest_relative|case|education_level|education_level: medium_education|41,343 (49.0)|49.0159580774429||41343
no|bd_12#prev_2021|65+|closest_relative|case|education_level|education_level: no_education|4,413 (5.2)|5.23202048704147||4413
no|bd_12#prev_2021|65+|closest_relative|case|education_level|education_level: short_education|16,350 (19.4)|19.3844402816968||16350
no|bd_12#prev_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: title||||
no|bd_12#prev_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: child|32,589 (38.6)|38.6372797761601||32589
no|bd_12#prev_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_12#prev_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_12#prev_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_12#prev_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: partner|51,757 (61.4)|61.3627202238399||51757
no|bd_12#prev_2021|65+|closest_relative|case|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_12#prev_2021|65+|closest_relative|control|__n|__n|84,346 (100.0)|100||84346
no|bd_12#prev_2021|65+|closest_relative|control|male|male|58,532 (69.4)|69.3951106157968||58532
no|bd_12#prev_2021|65+|closest_relative|control|cci_g|cci_g: title||||
no|bd_12#prev_2021|65+|closest_relative|control|cci_g|cci_g: +3|5,841 (6.9)|6.92504683091077||5841
no|bd_12#prev_2021|65+|closest_relative|control|cci_g|cci_g: 0|59,147 (70.1)|70.1242501126313||59147
no|bd_12#prev_2021|65+|closest_relative|control|cci_g|cci_g: 1-2|19,358 (23.0)|22.9507030564579||19358
no|bd_12#prev_2021|65+|closest_relative|control|age_index|age_index|67.6 (52.4;74.4)|52.3770491803278|74.372602739726|67.561643836
no|bd_12#prev_2021|65+|closest_relative|control|education_level|education_level: title||||
no|bd_12#prev_2021|65+|closest_relative|control|education_level|education_level: long_education|22,176 (26.3)|26.2917032224409||22176
no|bd_12#prev_2021|65+|closest_relative|control|education_level|education_level: medium_education|40,908 (48.5)|48.5002252626087||40908
no|bd_12#prev_2021|65+|closest_relative|control|education_level|education_level: no_education|4,417 (5.2)|5.23676285775259||4417
no|bd_12#prev_2021|65+|closest_relative|control|education_level|education_level: short_education|16,845 (20.0)|19.9713086571977||16845
no|bd_12#prev_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: title||||
no|bd_12#prev_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: child|32,589 (38.6)|38.6372797761601||32589
no|bd_12#prev_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_12#prev_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_12#prev_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_12#prev_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: partner|51,757 (61.4)|61.3627202238399||51757
no|bd_12#prev_2021|65+|closest_relative|control|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|father|case|__n|__n|1,147 (100.0)|100||1147
no|bd_13#inc_2016_2021|0-24|father|case|male|male|1,147 (100.0)|100||1147
no|bd_13#inc_2016_2021|0-24|father|case|cci_g|cci_g: title||||
no|bd_13#inc_2016_2021|0-24|father|case|cci_g|cci_g: +3|16 (1.4)|1.3949433304272||16
no|bd_13#inc_2016_2021|0-24|father|case|cci_g|cci_g: 0|1,020 (88.9)|88.927637314734||1020
no|bd_13#inc_2016_2021|0-24|father|case|cci_g|cci_g: 1-2|111 (9.7)|9.67741935483871||111
no|bd_13#inc_2016_2021|0-24|father|case|age_index|age_index|47.1 (38.7;53.5)|38.719529904933|53.5022681338423|47.076712329
no|bd_13#inc_2016_2021|0-24|father|case|education_level|education_level: title||||
no|bd_13#inc_2016_2021|0-24|father|case|education_level|education_level: long_education|333 (29.0)|29.0322580645161||333
no|bd_13#inc_2016_2021|0-24|father|case|education_level|education_level: medium_education|562 (49.0)|48.9973844812554||562
no|bd_13#inc_2016_2021|0-24|father|case|education_level|education_level: no_education|34 (3.0)|2.9642545771578||34
no|bd_13#inc_2016_2021|0-24|father|case|education_level|education_level: short_education|218 (19.0)|19.0061028770706||218
no|bd_13#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: title||||
no|bd_13#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: father|1,147 (100.0)|100||1147
no|bd_13#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|father|control|__n|__n|1,147 (100.0)|100||1147
no|bd_13#inc_2016_2021|0-24|father|control|male|male|1,147 (100.0)|100||1147
no|bd_13#inc_2016_2021|0-24|father|control|cci_g|cci_g: title||||
no|bd_13#inc_2016_2021|0-24|father|control|cci_g|cci_g: +3|11 (1.0)|0.9590235396687||11
no|bd_13#inc_2016_2021|0-24|father|control|cci_g|cci_g: 0|1,031 (89.9)|89.8866608544028||1031
no|bd_13#inc_2016_2021|0-24|father|control|cci_g|cci_g: 1-2|105 (9.2)|9.15431560592851||105
no|bd_13#inc_2016_2021|0-24|father|control|age_index|age_index|47.3 (39.6;53.1)|39.6082191780822|53.1200389250692|47.276712329
no|bd_13#inc_2016_2021|0-24|father|control|education_level|education_level: title||||
no|bd_13#inc_2016_2021|0-24|father|control|education_level|education_level: long_education|337 (29.4)|29.3809938971229||337
no|bd_13#inc_2016_2021|0-24|father|control|education_level|education_level: medium_education|564 (49.2)|49.1717523975588||564
no|bd_13#inc_2016_2021|0-24|father|control|education_level|education_level: no_education|45 (3.9)|3.9232781168265||45
no|bd_13#inc_2016_2021|0-24|father|control|education_level|education_level: short_education|201 (17.5)|17.5239755884917||201
no|bd_13#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: title||||
no|bd_13#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: father|1,147 (100.0)|100||1147
no|bd_13#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|mother|case|__n|__n|1,241 (100.0)|100||1241
no|bd_13#inc_2016_2021|0-24|mother|case|male|male|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|mother|case|cci_g|cci_g: title||||
no|bd_13#inc_2016_2021|0-24|mother|case|cci_g|cci_g: +3|12 (1.0)|0.96696212731668||12
no|bd_13#inc_2016_2021|0-24|mother|case|cci_g|cci_g: 0|1,072 (86.4)|86.3819500402901||1072
no|bd_13#inc_2016_2021|0-24|mother|case|cci_g|cci_g: 1-2|157 (12.7)|12.6510878323932||157
no|bd_13#inc_2016_2021|0-24|mother|case|age_index|age_index|44.3 (37.4;50.5)|37.3834718167527|50.460880305412|44.331506849
no|bd_13#inc_2016_2021|0-24|mother|case|education_level|education_level: title||||
no|bd_13#inc_2016_2021|0-24|mother|case|education_level|education_level: long_education|469 (37.8)|37.7921031426269||469
no|bd_13#inc_2016_2021|0-24|mother|case|education_level|education_level: medium_education|517 (41.7)|41.6599516518936||517
no|bd_13#inc_2016_2021|0-24|mother|case|education_level|education_level: no_education|39 (3.1)|3.14262691377921||39
no|bd_13#inc_2016_2021|0-24|mother|case|education_level|education_level: short_education|216 (17.4)|17.4053182917002||216
no|bd_13#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: title||||
no|bd_13#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: mother|1,241 (100.0)|100||1241
no|bd_13#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|mother|case|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|mother|control|__n|__n|1,241 (100.0)|100||1241
no|bd_13#inc_2016_2021|0-24|mother|control|male|male|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|mother|control|cci_g|cci_g: title||||
no|bd_13#inc_2016_2021|0-24|mother|control|cci_g|cci_g: +3|13 (1.0)|1.04754230459307||13
no|bd_13#inc_2016_2021|0-24|mother|control|cci_g|cci_g: 0|1,113 (89.7)|89.685737308622||1113
no|bd_13#inc_2016_2021|0-24|mother|control|cci_g|cci_g: 1-2|115 (9.3)|9.26672038678485||115
no|bd_13#inc_2016_2021|0-24|mother|control|age_index|age_index|44.5 (37.3;50.2)|37.3034957706415|50.2420839883224|44.475409836
no|bd_13#inc_2016_2021|0-24|mother|control|education_level|education_level: title||||
no|bd_13#inc_2016_2021|0-24|mother|control|education_level|education_level: long_education|492 (39.6)|39.6454472199838||492
no|bd_13#inc_2016_2021|0-24|mother|control|education_level|education_level: medium_education|505 (40.7)|40.6929895245769||505
no|bd_13#inc_2016_2021|0-24|mother|control|education_level|education_level: no_education|40 (3.2)|3.2232070910556||40
no|bd_13#inc_2016_2021|0-24|mother|control|education_level|education_level: short_education|204 (16.4)|16.4383561643835||204
no|bd_13#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: title||||
no|bd_13#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: mother|1,241 (100.0)|100||1241
no|bd_13#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_13#inc_2016_2021|0-24|mother|control|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_13#inc_2016_2021|25-64|closest_relative|case|__n|__n|3,012 (100.0)|100||3012
no|bd_13#inc_2016_2021|25-64|closest_relative|case|male|male|1,340 (44.5)|44.4887118193891||1340
no|bd_13#inc_2016_2021|25-64|closest_relative|case|cci_g|cci_g: title||||
no|bd_13#inc_2016_2021|25-64|closest_relative|case|cci_g|cci_g: +3|91 (3.0)|3.02124833997344||91
no|bd_13#inc_2016_2021|25-64|closest_relative|case|cci_g|cci_g: 0|2,479 (82.3)|82.3041168658698||2479
no|bd_13#inc_2016_2021|25-64|closest_relative|case|cci_g|cci_g: 1-2|442 (14.7)|14.6746347941567||442
no|bd_13#inc_2016_2021|25-64|closest_relative|case|age_index|age_index|51.4 (38.3;60.3)|38.2521371360131|60.31489258178|51.445796841
no|bd_13#inc_2016_2021|25-64|closest_relative|case|education_level|education_level: title||||
no|bd_13#inc_2016_2021|25-64|closest_relative|case|education_level|education_level: long_education|916 (30.4)|30.4116865869854||916
no|bd_13#inc_2016_2021|25-64|closest_relative|case|education_level|education_level: medium_education|1,382 (45.9)|45.883134130146||1382
no|bd_13#inc_2016_2021|25-64|closest_relative|case|education_level|education_level: no_education|107 (3.6)|3.55245683930943||107
no|bd_13#inc_2016_2021|25-64|closest_relative|case|education_level|education_level: short_education|607 (20.2)|20.152722443559||607
no|bd_13#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: title||||
no|bd_13#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_13#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_13#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_13#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: parent|559 (18.6)|18.5590969455511||559
no|bd_13#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: partner|1,961 (65.1)|65.1062416998672||1961
no|bd_13#inc_2016_2021|25-64|closest_relative|case|closest_relative_type|closest_relative_type: sibling|492 (16.3)|16.3346613545816||492
no|bd_13#inc_2016_2021|25-64|closest_relative|control|__n|__n|3,012 (100.0)|100||3012
no|bd_13#inc_2016_2021|25-64|closest_relative|control|male|male|1,346 (44.7)|44.6879150066401||1346
no|bd_13#inc_2016_2021|25-64|closest_relative|control|cci_g|cci_g: title||||
no|bd_13#inc_2016_2021|25-64|closest_relative|control|cci_g|cci_g: +3|86 (2.9)|2.85524568393094||86
no|bd_13#inc_2016_2021|25-64|closest_relative|control|cci_g|cci_g: 0|2,475 (82.2)|82.1713147410358||2475
no|bd_13#inc_2016_2021|25-64|closest_relative|control|cci_g|cci_g: 1-2|451 (15.0)|14.9734395750332||451
no|bd_13#inc_2016_2021|25-64|closest_relative|control|age_index|age_index|52.1 (38.3;60.8)|38.2671232876712|60.847870349577|52.139535145
no|bd_13#inc_2016_2021|25-64|closest_relative|control|education_level|education_level: title||||
no|bd_13#inc_2016_2021|25-64|closest_relative|control|education_level|education_level: long_education|942 (31.3)|31.2749003984063||942
no|bd_13#inc_2016_2021|25-64|closest_relative|control|education_level|education_level: medium_education|1,348 (44.8)|44.7543160690571||1348
no|bd_13#inc_2016_2021|25-64|closest_relative|control|education_level|education_level: no_education|105 (3.5)|3.48605577689243||105
no|bd_13#inc_2016_2021|25-64|closest_relative|control|education_level|education_level: short_education|617 (20.5)|20.484727755644||617
no|bd_13#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: title||||
no|bd_13#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_13#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: father|0 (0.0)|0||0
no|bd_13#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_13#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: parent|559 (18.6)|18.5590969455511||559
no|bd_13#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: partner|1,961 (65.1)|65.1062416998672||1961
no|bd_13#inc_2016_2021|25-64|closest_relative|control|closest_relative_type|closest_relative_type: sibling|492 (16.3)|16.3346613545816||492
